side,creature_id,samples,MOVE,MELEE_ATTACK,RANGED_ATTACK,WAIT,DEFEND,HERO_ACTION,CAST_OR_ABILITY,ABILITY,ATTACK
PVE,1082,10,0.310344828,0.379310345,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.103448276,0.034482759
PVE,1083,1,0.272727273,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
PVE,1089,1,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
PVE,1091,3,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.466666667,0.066666667
PVE,1092,1,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.090909091
PVE,1094,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077
PVE,1095,5,0.157894737,0.473684211,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579
PVE,1114,12,0.090909091,0.212121212,0.515151515,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030
PVE,1130,5,0.052631579,0.157894737,0.473684211,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579
PVE,1131,19,0.574468085,0.148936170,0.021276596,0.021276596,0.148936170,0.021276596,0.021276596,0.021276596,0.021276596
PVE,1132,14,0.513513514,0.297297297,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027,0.027027027
PVE,1137,8,0.040000000,0.040000000,0.040000000,0.040000000,0.040000000,0.680000000,0.040000000,0.040000000,0.040000000
PVE,1138,30,0.420289855,0.246376812,0.014492754,0.130434783,0.014492754,0.014492754,0.014492754,0.130434783,0.014492754
PVE,1139,13,0.542857143,0.257142857,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429
PVE,1140,51,0.531531532,0.279279279,0.009009009,0.117117117,0.009009009,0.009009009,0.009009009,0.027027027,0.009009009
PVE,1144,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1145,23,0.345454545,0.527272727,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818
PVE,1146,23,0.236363636,0.636363636,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818
PVE,1154,7,0.304347826,0.391304348,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261
PVE,1156,18,0.022222222,0.022222222,0.022222222,0.022222222,0.022222222,0.022222222,0.022222222,0.822222222,0.022222222
PVE,1165,5,0.052631579,0.263157895,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.368421053,0.052631579
PVE,1167,1,0.272727273,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
PVE,1174,33,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.893333333,0.013333333,0.013333333,0.013333333
PVE,1176,25,0.423728814,0.186440678,0.016949153,0.118644068,0.118644068,0.016949153,0.016949153,0.084745763,0.016949153
PVE,1177,5,0.368421053,0.263157895,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579
PVE,1180,3,0.333333333,0.200000000,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667
PVE,1184,97,0.064039409,0.655172414,0.004926108,0.004926108,0.004926108,0.004926108,0.004926108,0.251231527,0.004926108
PVE,1187,27,0.015873016,0.365079365,0.015873016,0.111111111,0.079365079,0.015873016,0.015873016,0.365079365,0.015873016
PVE,1188,10,0.034482759,0.034482759,0.724137931,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759
PVE,1189,25,0.016949153,0.220338983,0.016949153,0.016949153,0.220338983,0.016949153,0.016949153,0.457627119,0.016949153
PVE,1191,25,0.186440678,0.627118644,0.016949153,0.016949153,0.050847458,0.016949153,0.016949153,0.050847458,0.016949153
PVE,1192,7,0.043478261,0.130434783,0.043478261,0.043478261,0.043478261,0.043478261,0.565217391,0.043478261,0.043478261
PVE,1194,1,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091
PVE,1201,25,0.016949153,0.016949153,0.016949153,0.016949153,0.016949153,0.864406780,0.016949153,0.016949153,0.016949153
PVE,1203,4,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.529411765,0.058823529,0.058823529,0.058823529
PVE,1205,5,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.578947368,0.052631579,0.052631579,0.052631579
PVE,1206,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1212,6,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.619047619,0.047619048,0.047619048,0.047619048
PVE,1214,3,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.466666667,0.066666667,0.066666667,0.066666667
PVE,1215,3,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.466666667,0.066666667,0.066666667,0.066666667
PVE,1218,1,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091
PVE,1219,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1221,34,0.038961039,0.194805195,0.506493506,0.012987013,0.012987013,0.012987013,0.194805195,0.012987013,0.012987013
PVE,1223,9,0.333333333,0.407407407,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.037037037
PVE,1224,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1227,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1228,4,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.529411765,0.058823529,0.058823529,0.058823529
PVE,1229,4,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.529411765,0.058823529,0.058823529,0.058823529
PVE,1230,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1235,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1247,10,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.724137931,0.034482759,0.034482759,0.034482759
PVE,1248,22,0.018867925,0.018867925,0.018867925,0.018867925,0.018867925,0.849056604,0.018867925,0.018867925,0.018867925
PVE,1249,4,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.529411765,0.058823529,0.058823529,0.058823529
PVE,1250,15,0.025641026,0.025641026,0.025641026,0.076923077,0.025641026,0.743589744,0.025641026,0.025641026,0.025641026
PVE,1251,17,0.023255814,0.023255814,0.023255814,0.023255814,0.023255814,0.813953488,0.023255814,0.023255814,0.023255814
PVE,1253,12,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030,0.757575758,0.030303030,0.030303030,0.030303030
PVE,1254,6,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.619047619,0.047619048,0.047619048,0.047619048
PVE,1258,39,0.011494253,0.011494253,0.011494253,0.011494253,0.011494253,0.908045977,0.011494253,0.011494253,0.011494253
PVE,1259,2,0.076923077,0.230769231,0.076923077,0.076923077,0.076923077,0.076923077,0.230769231,0.076923077,0.076923077
PVE,1261,18,0.022222222,0.022222222,0.022222222,0.022222222,0.022222222,0.822222222,0.022222222,0.022222222,0.022222222
PVE,1262,6,0.047619048,0.047619048,0.047619048,0.047619048,0.047619048,0.619047619,0.047619048,0.047619048,0.047619048
PVE,1263,1,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091
PVE,1264,7,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.652173913,0.043478261,0.043478261,0.043478261
PVE,1265,1,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091
PVE,1266,1,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091
PVE,1271,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1274,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077
PVE,1277,1,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091
PVE,1279,1,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.272727273,0.090909091,0.090909091,0.090909091
PVE,1281,13,0.028571429,0.028571429,0.028571429,0.028571429,0.028571429,0.771428571,0.028571429,0.028571429,0.028571429
PVE,1282,24,0.017543860,0.578947368,0.017543860,0.017543860,0.017543860,0.017543860,0.017543860,0.298245614,0.017543860
PVE,1287,4,0.058823529,0.176470588,0.411764706,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529
PVE,1291,2,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.384615385,0.076923077
PVE,1295,19,0.446808511,0.404255319,0.021276596,0.021276596,0.021276596,0.021276596,0.021276596,0.021276596,0.021276596
PVE,1296,30,0.304347826,0.478260870,0.014492754,0.101449275,0.014492754,0.014492754,0.014492754,0.043478261,0.014492754
PVE,1297,5,0.263157895,0.263157895,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.157894737,0.052631579
PVE,1298,8,0.040000000,0.680000000,0.040000000,0.040000000,0.040000000,0.040000000,0.040000000,0.040000000,0.040000000
PVE,1299,2,0.384615385,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077
PVE,1300,2,0.076923077,0.384615385,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077
