action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,353,23,1.027390641,0.556686185,0.901680672,1.352813128
MELEE_ATTACK,355,47,0.895875089,0.496812198,0.792857143,1.352610970
MELEE_ATTACK,356,43,0.915646648,0.268198948,0.809375000,1.228333851
MELEE_ATTACK,357,17,0.868984881,0.440002548,0.598090278,0.884387703
MELEE_ATTACK,358,20,1.018239592,0.578210943,0.868518519,1.378346280
MELEE_ATTACK,359,20,0.989233149,0.611823204,0.819740601,1.313991216
MELEE_ATTACK,360,26,1.090517903,0.715166647,1.017211362,1.799167617
MELEE_ATTACK,361,3,1.173955244,1.042493280,1.050000000,1.274601274
MELEE_ATTACK,362,13,0.957753798,0.475733390,0.682454800,1.292134451
MELEE_ATTACK,363,29,0.811481655,0.292035012,0.621818182,0.863934956
MELEE_ATTACK,364,22,0.843710883,0.246499243,0.615416167,1.352573279
MELEE_ATTACK,370,17,1.052410278,0.610429645,0.907381723,1.043146602
MELEE_ATTACK,371,17,0.894541437,0.146604938,0.637037037,0.907338729
MELEE_ATTACK,378,7,1.327024564,1.114388670,1.795509796,2.898118453
MELEE_ATTACK,386,3,1.290537481,2.062830137,2.169879394,3.497497026
MELEE_ATTACK,388,12,1.096391841,0.702298517,0.951423761,2.817015106
MELEE_ATTACK,389,10,1.032795682,0.459438413,0.773039148,1.280654330
MELEE_ATTACK,390,14,1.069238317,0.514901440,0.913529481,1.764285714
MELEE_ATTACK,391,20,0.973569847,0.514768008,0.793986930,1.544549069
MELEE_ATTACK,392,43,1.051611536,0.504249948,0.991387560,2.026197095
MELEE_ATTACK,393,62,0.933310381,0.489623231,0.862072734,1.909759831
MELEE_ATTACK,397,1,1.155535979,0.602608696,0.602608696,0.602608696
MELEE_ATTACK,399,34,1.695585089,0.631173621,2.084327172,2.538051032
MELEE_ATTACK,401,6,1.093334755,0.348433997,0.815694270,1.648863245
MELEE_ATTACK,402,5,1.157062613,0.888444012,1.021176471,1.940747390
MELEE_ATTACK,403,13,1.022957795,0.515655652,0.806647188,2.188327298
MELEE_ATTACK,404,16,1.007169567,0.619216094,0.814384956,1.557451757
MELEE_ATTACK,405,8,1.122372505,0.562115816,0.962005106,3.477898589
MELEE_ATTACK,406,17,1.227079747,0.669892598,1.267458828,2.105873220
MELEE_ATTACK,413,20,1.030130986,0.504935044,0.888922760,1.304633825
MELEE_ATTACK,414,34,0.908580186,0.413660029,0.773790669,1.163494161
MELEE_ATTACK,415,3,1.143583320,0.584754905,0.858843537,0.895627897
MELEE_ATTACK,416,4,1.112085630,0.538263664,0.780234221,1.361382104
MELEE_ATTACK,417,62,0.927890606,0.504514845,0.855457979,1.258312670
MELEE_ATTACK,418,62,1.192157436,0.510964328,1.191637529,2.869448744
MELEE_ATTACK,419,24,1.050822407,0.595345276,0.944864862,1.439733857
MELEE_ATTACK,420,23,0.985889034,0.421896675,0.834782609,1.102632037
MELEE_ATTACK,421,8,1.092465315,0.536242957,0.875234867,1.177700799
MELEE_ATTACK,422,16,0.896363498,0.365402645,0.626524807,0.864098760
MELEE_ATTACK,423,64,0.772905849,0.490411301,0.674727453,1.102175685
MELEE_ATTACK,424,57,0.789538510,0.414985990,0.682926829,1.140507259
MELEE_ATTACK,433,52,1.602636766,0.718821525,1.794869512,2.264814905
MELEE_ATTACK,434,34,1.041276981,0.603353011,0.960841588,1.696564549
MELEE_ATTACK,435,10,1.197528749,0.656140012,1.205080593,2.786005125
MELEE_ATTACK,436,54,1.592764322,0.050000000,1.772283681,4.269431524
MELEE_ATTACK,440,55,0.805543800,0.336363636,0.698181818,1.162180452
MELEE_ATTACK,441,69,0.981072537,0.505859383,0.926829268,1.437058037
MELEE_ATTACK,442,41,0.899279589,0.235119048,0.783216783,1.545405931
MELEE_ATTACK,443,32,0.931067368,0.550946303,0.797110902,1.531036368
MELEE_ATTACK,444,24,1.113431439,0.455607732,1.050628030,1.648520635
MELEE_ATTACK,445,30,0.969387345,0.407072336,0.843752344,1.307930003
MELEE_ATTACK,446,22,0.876743986,0.306184174,0.662233131,1.097124892
MELEE_ATTACK,447,9,0.994213962,0.333933958,0.662131519,1.583821398
MELEE_ATTACK,448,15,0.978367372,0.227523567,0.750372208,1.642651201
MELEE_ATTACK,449,21,1.111794291,0.246428571,1.038961039,2.122448980
MELEE_ATTACK,493,43,0.901709676,0.444324639,0.791389680,1.621050349
MELEE_ATTACK,494,18,0.952760485,0.601632169,0.741591414,1.041364565
MELEE_ATTACK,495,77,0.932820311,0.345966401,0.874931129,1.332421276
MELEE_ATTACK,496,49,0.836899078,0.402583623,0.723960396,1.226040525
MELEE_ATTACK,512,204,1.248289091,0.890665069,1.253766256,2.508033832
MELEE_ATTACK,513,150,1.368762960,0.711867481,1.393956517,2.811278413
MELEE_ATTACK,514,180,1.211257241,0.726148594,1.213215946,2.342724647
MELEE_ATTACK,515,168,1.181988797,0.620437818,1.180593970,2.202620287
MELEE_ATTACK,520,6,1.145019762,0.874256827,0.996445009,1.063079224
MELEE_ATTACK,521,2,1.081533471,0.397242824,0.402931155,0.408700940
MELEE_ATTACK,522,6,1.061736928,0.376793489,0.718351624,1.246422567
MELEE_ATTACK,534,65,1.598916995,0.824604753,1.749337573,3.319491011
MELEE_ATTACK,535,143,1.592557491,0.995771236,1.658066735,3.015870180
MELEE_ATTACK,536,223,2.007631593,1.255172289,2.103448276,4.136936094
MELEE_ATTACK,537,21,1.508921310,1.472431078,1.886111111,3.883314753
MELEE_ATTACK,538,175,1.694433670,1.045841816,1.763631521,3.687643187
MELEE_ATTACK,544,83,1.295139075,0.961538462,1.320825516,2.633619222
MELEE_ATTACK,545,8,1.266638061,1.232152689,1.468864308,1.911317731
MELEE_ATTACK,546,6,1.197144587,0.982305949,1.208460258,1.634594607
MELEE_ATTACK,567,38,0.945160321,0.331825742,0.835851176,1.640728704
MELEE_ATTACK,568,29,1.002302311,0.517356035,0.888461538,1.495861653
MELEE_ATTACK,571,21,1.069466691,0.206355140,0.963136033,1.502657138
MELEE_ATTACK,572,29,0.664552621,0.092632292,0.443697479,1.195239364
MELEE_ATTACK,578,2,1.284163758,2.664478964,2.664500084,2.664521205
MELEE_ATTACK,579,16,1.253078104,0.541454865,1.331372931,2.523490821
MELEE_ATTACK,580,7,1.197636343,0.813898907,1.208750463,2.951770682
MELEE_ATTACK,581,3,1.246516197,1.439928962,1.662946429,2.290801076
MELEE_ATTACK,587,6,1.082053807,0.735939425,0.779845901,1.541588906
MELEE_ATTACK,588,247,1.263363419,0.627296105,1.269172932,2.394847476
MELEE_ATTACK,589,49,1.342689118,0.905133075,1.408685612,3.390991414
MELEE_ATTACK,590,80,1.287027830,0.897343520,1.311458957,2.463822014
MELEE_ATTACK,599,3,1.144791207,0.863574786,0.865822785,0.923988432
MELEE_ATTACK,600,6,1.102780620,0.759965049,0.846674779,1.105222885
MELEE_ATTACK,601,18,1.084069383,0.737228187,0.973961407,1.141000091
MELEE_ATTACK,604,2,1.161189699,0.807585930,0.880493508,0.959983066
MELEE_ATTACK,606,2,1.145664411,0.757457342,0.759316586,0.761180393
MELEE_ATTACK,609,2,1.138241077,0.560307742,0.706916366,0.891886211
MELEE_ATTACK,611,3,1.169932325,0.824610053,1.022727273,2.633273982
MELEE_ATTACK,612,94,1.688539913,0.730374151,1.817824085,3.981679534
MELEE_ATTACK,624,15,1.180306621,1.082880021,1.162590580,1.532416130
MELEE_ATTACK,626,16,1.021196603,0.593050785,0.840127051,0.974356815
MELEE_ATTACK,627,4,1.119493972,0.743781529,0.811944187,0.904387707
MELEE_ATTACK,628,2,1.220768025,1.248770812,1.526707500,1.866504061
MELEE_ATTACK,630,2,1.223256607,1.555948689,1.561293349,1.566656369
MELEE_ATTACK,631,8,1.183790573,0.773439902,1.159204023,1.351935250
MELEE_ATTACK,635,135,0.623852083,0.344321419,0.566666667,0.944446769
MELEE_ATTACK,636,84,0.682877538,0.345683286,0.597841625,0.939268423
MELEE_ATTACK,637,7,0.996701035,0.497221239,0.595238095,0.708303868
MELEE_ATTACK,638,27,0.815837678,0.517498516,0.615384615,1.026955730
MELEE_ATTACK,639,99,0.683590447,0.316067735,0.610775862,0.966959822
MELEE_ATTACK,640,130,0.705666294,0.503141606,0.650838130,1.122072072
MELEE_ATTACK,641,123,0.637333673,0.270147886,0.575505051,0.895757994
MELEE_ATTACK,644,46,1.046773483,0.623354505,0.988645212,1.481138625
MELEE_ATTACK,645,24,1.044499526,0.161508321,0.934467905,2.038908410
MELEE_ATTACK,646,2,1.231902395,1.181104856,1.687060027,2.409753478
MELEE_ATTACK,647,6,1.221646667,0.762017142,1.319354214,1.740907342
MELEE_ATTACK,649,111,1.735366630,1.297489763,1.856372738,2.978947368
MELEE_ATTACK,650,105,1.739700355,1.225895422,1.869078381,3.744666335
MELEE_ATTACK,651,117,1.248867070,0.696406686,1.258536585,2.322635135
MELEE_ATTACK,652,32,1.139911364,0.611838737,1.107490380,1.622390479
MELEE_ATTACK,660,3,1.158056072,0.785239668,0.945774648,0.996257212
MELEE_ATTACK,661,10,1.444705008,1.684410326,2.115903138,2.466537071
MELEE_ATTACK,662,27,0.961676826,0.523158953,0.819369369,1.196863089
MELEE_ATTACK,672,16,0.935110757,0.451133261,0.689113525,1.110391924
MELEE_ATTACK,677,16,1.175160085,0.866352507,1.152304418,1.736624280
MELEE_ATTACK,678,8,1.162852460,0.859739210,1.089015259,1.359194374
MELEE_ATTACK,679,12,1.102731235,0.757763726,0.966164351,1.779440022
MELEE_ATTACK,690,17,1.083393002,0.815858527,0.966530612,1.327167459
MELEE_ATTACK,691,2,1.158434413,0.818013952,0.857782524,0.899484486
MELEE_ATTACK,703,3,1.129864338,0.689027311,0.782941176,1.146541746
MELEE_ATTACK,704,8,1.038927949,0.602335902,0.734085783,1.074338234
MELEE_ATTACK,717,20,1.010962778,0.733557029,0.856149200,0.967739779
MELEE_ATTACK,721,40,0.899089224,0.371411126,0.780267918,1.314381838
MELEE_ATTACK,722,9,1.083180525,0.631646789,0.872727273,1.125065789
MELEE_ATTACK,723,23,1.037976321,0.500748297,0.919127517,1.199696777
MELEE_ATTACK,724,25,1.063782912,0.682200329,0.970060267,1.217331462
MELEE_ATTACK,725,2,1.156159333,0.827866527,0.839432581,0.851160224
MELEE_ATTACK,727,13,1.134097403,0.882081862,1.048064516,1.846366245
MELEE_ATTACK,728,3,1.141644707,0.817757953,0.847744361,0.935588765
MELEE_ATTACK,729,3,1.127930773,0.656436258,0.772727273,1.178860040
MELEE_ATTACK,730,3,1.144788541,0.763779700,0.865807327,1.049165550
MELEE_ATTACK,731,14,1.052793324,0.641216256,0.879781656,1.029007667
MELEE_ATTACK,745,75,1.428910479,1.162342561,1.499089146,2.876582661
MELEE_ATTACK,747,28,1.376893003,1.184649821,1.524653425,3.386908026
MELEE_ATTACK,750,5,1.162193897,0.795869917,1.044021515,1.389025151
MELEE_ATTACK,751,7,1.193617919,0.597115614,1.193181818,1.982138784
MELEE_ATTACK,752,19,1.038438766,0.389285714,0.896715328,1.089536361
MELEE_ATTACK,753,11,0.858502751,0.422478652,0.471428571,0.634451827
MELEE_ATTACK,754,3,1.187065720,0.962011305,1.143318809,1.297693138
MELEE_ATTACK,755,4,1.131516190,0.532658410,0.865685719,1.040522238
MELEE_ATTACK,770,87,1.044422243,0.639518442,1.012820513,1.469076186
MELEE_ATTACK,771,10,1.087122793,0.753603297,0.901558789,1.377886723
MELEE_ATTACK,790,13,0.878943165,0.353020032,0.548790796,0.978978265
MELEE_ATTACK,791,2,1.126492039,0.613232412,0.630667763,0.648598834
MELEE_ATTACK,792,10,1.145834384,0.671524385,1.055659352,2.650310112
MELEE_ATTACK,793,10,1.161603897,0.697644629,1.099847392,1.298889937
MELEE_ATTACK,796,1,1.183744508,1.000000000,1.000000000,1.000000000
MELEE_ATTACK,817,10,1.047587158,0.583398261,0.806730999,1.150134637
MELEE_ATTACK,847,106,1.763247198,1.480403128,1.897903028,2.546739165
MELEE_ATTACK,848,183,1.816172483,1.370181057,1.901400560,2.369696594
MELEE_ATTACK,849,91,1.030311138,0.420000000,0.997500000,2.709137931
MELEE_ATTACK,850,52,0.982254338,0.191348667,0.911272400,2.120211641
MELEE_ATTACK,851,89,1.166124064,0.441879542,1.160000000,2.283398558
MELEE_ATTACK,852,3,1.143864723,0.823034381,0.860465116,1.277571220
MELEE_ATTACK,855,143,1.643503042,1.236978847,1.718660287,3.269937170
MELEE_ATTACK,856,3,1.177863208,0.955657076,1.077096774,1.233163628
MELEE_ATTACK,859,92,1.267907036,1.015097971,1.284623283,2.482273929
MELEE_ATTACK,860,9,1.204690043,1.147933898,1.229314421,2.633876908
MELEE_ATTACK,861,63,1.266458604,1.024255070,1.290447213,2.134494310
MELEE_ATTACK,895,2,1.060449156,0.206361776,0.324473774,0.510187652
MELEE_ATTACK,896,3,1.153343774,0.757095306,0.916666667,1.950905070
MELEE_ATTACK,897,14,0.998347608,0.567951329,0.773337000,1.671614949
MELEE_ATTACK,917,12,1.091449827,0.870815360,0.940030498,1.107684069
MELEE_ATTACK,918,19,1.134488115,0.875273135,1.075263158,2.251500624
MELEE_ATTACK,920,16,1.364485209,1.016518796,1.612607880,2.888638635
MELEE_ATTACK,922,2,1.311653618,2.650703184,3.363581968,4.268182016
MELEE_ATTACK,925,2,1.148754532,0.769791650,0.782151452,0.794709704
MELEE_ATTACK,926,6,1.102370929,0.268640500,0.845312591,1.106262490
MELEE_ATTACK,927,6,1.146126752,0.996918144,1.000626257,1.005071200
MELEE_ATTACK,928,21,1.174041734,0.740740741,1.155555556,1.651248164
MELEE_ATTACK,930,47,0.900973555,0.545681074,0.799297189,1.502591747
MELEE_ATTACK,932,18,1.488322565,0.762688808,1.901581991,4.007944457
MELEE_ATTACK,933,3,1.143404157,0.823861983,0.857812500,0.983261176
MELEE_ATTACK,936,4,1.147662752,0.577612629,0.942499957,1.402123187
MELEE_ATTACK,937,4,1.314670748,1.213850367,2.129597940,2.804113214
MELEE_ATTACK,938,7,1.102687410,0.643028567,0.878964029,0.981263039
MELEE_ATTACK,939,5,1.178745552,0.992727973,1.120512821,1.291626529
MELEE_ATTACK,942,6,1.150737094,0.895768320,1.018185487,1.060695435
MELEE_ATTACK,946,5,1.180712660,0.940214194,1.129893722,1.287791823
