scope,spell_id,spell_name,actor_creature_id,target_creature_id,samples,median_damage
SAT,2077100434,magicfist,634,165,1,85.000000
SAT,2077100434,magicfist,634,169,1,80.000000
SAT,2077100434,magicfist,634,234,3,35.000000
SAT,2077100434,magicfist,676,612,1,63.000000
SAT,2077100434,magicfist,1040,53,2,99.000000
SAT,2077100434,magicfist,1040,314,1,260.000000
SAT,2077100434,magicfist,1203,413,1,180.000000
SAT,2077100434,magicfist,1206,1114,2,22.000000
SAT,2077100434,magicfist,1262,612,5,28.000000
SAT,15153311,swarm,31,753,1,53.000000
SAT,15153311,swarm,31,852,1,3.000000
SAT,15153311,swarm,31,1381,1,55.000000
SAT,15153311,swarm,58,4,1,240.000000
SAT,15153311,swarm,58,10,6,240.000000
SAT,15153311,swarm,58,21,6,240.000000
SAT,15153311,swarm,58,770,10,240.000000
SAT,15153311,swarm,58,791,1,235.000000
SAT,15153311,swarm,58,930,10,235.000000
SAT,15153311,swarm,58,939,1,240.000000
SAT,15153311,swarm,58,946,6,240.000000
SAT,15153311,swarm,58,1062,3,235.000000
SAT,15153311,swarm,63,1146,1,30.000000
SAT,15153311,swarm,63,1381,1,30.000000
SAT,15153311,swarm,504,1319,1,30.000000
SAT,15153311,swarm,517,17,6,240.000000
SAT,15153311,swarm,517,31,1,240.000000
SAT,15153311,swarm,517,199,1,240.000000
SAT,15153311,swarm,517,601,11,240.000000
SAT,15153311,swarm,517,624,1,240.000000
SAT,15153311,swarm,517,731,4,235.000000
SAT,15153311,swarm,517,770,3,250.000000
SAT,15153311,swarm,517,918,4,240.000000
SAT,15153311,swarm,633,289,1,10.000000
SAT,15153311,swarm,633,318,1,10.000000
SAT,15153311,swarm,633,534,2,11.000000
SAT,15153311,swarm,634,257,1,14.000000
SAT,15153311,swarm,1203,47,1,50.000000
SAT,15153311,swarm,1203,631,1,60.000000
SAT,15153311,swarm,1208,207,1,30.000000
SAT,15153311,swarm,1268,445,1,20.000000
SAT,15153311,swarm,1268,792,1,30.000000
SAT,15153311,swarm,1268,1037,1,20.000000
ST,432674947,icebolt,0,17,1,85.000000
ST,432674947,icebolt,0,28,1,1259.000000
ST,432674947,icebolt,0,68,3,86.000000
ST,432674947,icebolt,0,121,5,68.000000
ST,432674947,icebolt,0,146,1,1259.000000
ST,432674947,icebolt,0,167,1,228.000000
ST,432674947,icebolt,0,239,2,68.000000
ST,432674947,icebolt,0,255,1,85.000000
ST,432674947,icebolt,0,261,3,60.000000
ST,432674947,icebolt,0,285,3,74.000000
ST,432674947,icebolt,0,314,4,171.000000
ST,432674947,icebolt,0,320,1,104.000000
ST,432674947,icebolt,0,391,1,78.000000
ST,432674947,icebolt,0,433,2,183.000000
ST,432674947,icebolt,0,522,1,94.000000
ST,432674947,icebolt,0,612,1,170.000000
ST,432674947,icebolt,0,644,1,170.000000
ST,432674947,icebolt,0,649,1,152.000000
ST,432674947,icebolt,0,849,1,170.000000
ST,432674947,icebolt,0,851,1,135.000000
ST,432674947,icebolt,0,993,1,93.000000
ST,432674947,icebolt,0,1004,1,94.000000
ST,432674947,icebolt,0,1060,2,84.000000
ST,432674947,icebolt,0,1114,2,116.000000
ST,2189341129,lighting,0,2,2,511.500000
ST,2189341129,lighting,0,4,2,913.000000
ST,2189341129,lighting,0,10,1,561.000000
ST,2189341129,lighting,0,18,1,572.000000
ST,2189341129,lighting,0,24,1,1122.000000
ST,2189341129,lighting,0,28,3,290.000000
ST,2189341129,lighting,0,34,3,583.000000
ST,2189341129,lighting,0,42,1,282.000000
ST,2189341129,lighting,0,53,2,135.000000
ST,2189341129,lighting,0,72,5,96.000000
ST,2189341129,lighting,0,91,2,167.000000
ST,2189341129,lighting,0,100,1,369.000000
ST,2189341129,lighting,0,117,2,412.500000
ST,2189341129,lighting,0,118,8,436.000000
ST,2189341129,lighting,0,123,6,58.000000
ST,2189341129,lighting,0,124,2,56.000000
ST,2189341129,lighting,0,149,3,913.000000
ST,2189341129,lighting,0,154,4,1360.000000
ST,2189341129,lighting,0,155,3,1133.000000
ST,2189341129,lighting,0,161,2,1122.000000
ST,2189341129,lighting,0,165,7,84.000000
ST,2189341129,lighting,0,168,1,84.000000
ST,2189341129,lighting,0,172,2,663.000000
ST,2189341129,lighting,0,202,1,699.000000
ST,2189341129,lighting,0,203,1,841.333333
ST,2189341129,lighting,0,207,1,531.000000
ST,2189341129,lighting,0,208,1,725.000000
ST,2189341129,lighting,0,212,1,588.000000
ST,2189341129,lighting,0,213,1,588.000000
ST,2189341129,lighting,0,217,7,913.000000
ST,2189341129,lighting,0,234,1,366.000000
ST,2189341129,lighting,0,238,2,369.000000
ST,2189341129,lighting,0,255,1,302.000000
ST,2189341129,lighting,0,257,4,297.000000
ST,2189341129,lighting,0,261,1,71.000000
ST,2189341129,lighting,0,269,4,913.000000
ST,2189341129,lighting,0,270,1,369.000000
ST,2189341129,lighting,0,272,2,1089.000000
ST,2189341129,lighting,0,285,4,896.500000
ST,2189341129,lighting,0,287,1,1089.000000
ST,2189341129,lighting,0,311,2,184.000000
ST,2189341129,lighting,0,314,1,54.000000
ST,2189341129,lighting,0,315,1,1144.000000
ST,2189341129,lighting,0,318,3,455.000000
ST,2189341129,lighting,0,320,3,92.000000
ST,2189341129,lighting,0,335,1,383.000000
ST,2189341129,lighting,0,353,2,485.500000
ST,2189341129,lighting,0,355,2,385.500000
ST,2189341129,lighting,0,356,3,342.000000
ST,2189341129,lighting,0,359,1,172.000000
ST,2189341129,lighting,0,370,1,144.000000
ST,2189341129,lighting,0,378,3,14.000000
ST,2189341129,lighting,0,389,1,591.000000
ST,2189341129,lighting,0,401,1,150.000000
ST,2189341129,lighting,0,405,1,584.000000
ST,2189341129,lighting,0,413,5,588.000000
ST,2189341129,lighting,0,414,1,924.000000
ST,2189341129,lighting,0,415,1,124.800000
ST,2189341129,lighting,0,416,1,508.000000
ST,2189341129,lighting,0,417,1,588.000000
ST,2189341129,lighting,0,421,2,514.400000
ST,2189341129,lighting,0,433,2,473.500000
ST,2189341129,lighting,0,434,2,574.500000
ST,2189341129,lighting,0,435,1,695.000000
ST,2189341129,lighting,0,440,1,322.400000
ST,2189341129,lighting,0,443,1,715.000000
ST,2189341129,lighting,0,446,1,454.000000
ST,2189341129,lighting,0,447,1,141.000000
ST,2189341129,lighting,0,513,6,167.000000
ST,2189341129,lighting,0,514,4,377.500000
ST,2189341129,lighting,0,515,1,369.000000
ST,2189341129,lighting,0,535,1,296.000000
ST,2189341129,lighting,0,537,1,54.000000
ST,2189341129,lighting,0,538,1,1067.000000
ST,2189341129,lighting,0,606,1,561.000000
ST,2189341129,lighting,0,624,1,155.000000
ST,2189341129,lighting,0,635,1,444.000000
ST,2189341129,lighting,0,636,6,457.000000
ST,2189341129,lighting,0,641,5,307.000000
ST,2189341129,lighting,0,647,2,663.000000
ST,2189341129,lighting,0,649,1,259.000000
ST,2189341129,lighting,0,651,4,1067.000000
ST,2189341129,lighting,0,660,2,5220.000000
ST,2189341129,lighting,0,677,2,814.000000
ST,2189341129,lighting,0,679,3,584.000000
ST,2189341129,lighting,0,703,1,413.333333
ST,2189341129,lighting,0,717,1,913.000000
ST,2189341129,lighting,0,770,2,561.000000
ST,2189341129,lighting,0,851,1,943.000000
ST,2189341129,lighting,0,852,2,649.000000
ST,2189341129,lighting,0,897,3,1155.000000
ST,2189341129,lighting,0,920,1,913.000000
ST,2189341129,lighting,0,921,1,553.000000
ST,2189341129,lighting,0,928,2,913.000000
ST,2189341129,lighting,0,939,1,449.000000
ST,2189341129,lighting,0,962,2,572.000000
ST,2189341129,lighting,0,993,2,473.000000
ST,2189341129,lighting,0,1037,2,1067.000000
ST,2189341129,lighting,0,1040,1,726.000000
ST,2189341129,lighting,0,1042,1,561.000000
ST,2189341129,lighting,0,1050,1,871.000000
ST,2189341129,lighting,0,1053,4,1010.000000
ST,2189341129,lighting,0,1060,1,583.000000
ST,2189341129,lighting,0,1068,2,691.500000
ST,2189341129,lighting,0,1130,2,693.000000
ST,2189341129,lighting,0,1140,1,558.000000
ST,2189341129,lighting,0,1145,6,1089.000000
ST,2189341129,lighting,0,1156,2,969.000000
ST,2189341129,lighting,0,1188,1,889.000000
ST,2189341129,lighting,0,1189,1,553.000000
ST,2189341129,lighting,0,1191,7,619.000000
ST,2189341129,lighting,0,1282,4,58.000000
ST,2189341129,lighting,0,1313,1,495.000000
ST,2189341129,lighting,0,1329,1,220.000000
ST,2189341129,lighting,0,1337,1,1067.000000
ST,2189341129,lighting,0,1339,1,1144.000000
ST,2189341129,lighting,0,1346,3,1188.000000
ST,2189341129,lighting,0,1348,1,913.000000
ST,2189341129,lighting,0,1349,3,687.000000
ST,2189341129,lighting,0,1363,4,892.000000
ST,1762755373,magicarrow,0,121,1,59.000000
ST,1762755373,magicarrow,0,255,2,900.000000
ST,1762755373,magicarrow,0,261,1,606.000000
